altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,ticks,altruists,selfish,void,max_pink,max_green,max_black
0.26,0.26,0.0,0.0,0.0,1.0,7,1990.0,0.0,1581.0,100.0,678.0,1581.0,816.0
0.26,0.26,0.0,0.0,0.0,1.0,8,1194.0,0.0,834.0,847.0,596.0,1096.0,1031.0
0.26,0.26,0.0,0.0,0.0,1.0,9,15000.0,1607.0,74.0,0.0,1679.0,1519.0,821.0
0.26,0.26,0.0,0.0,0.25,0.0,0,2609.0,0.0,1604.0,77.0,989.0,1606.0,209.0
0.26,0.26,0.0,0.0,0.25,0.0,1,2434.0,1601.0,0.0,80.0,1604.0,861.0,206.0
0.26,0.26,0.0,0.0,0.25,0.0,2,804.0,1587.0,0.0,94.0,1605.0,867.0,221.0
0.26,0.26,0.0,0.0,0.25,0.0,3,2593.0,1594.0,0.0,87.0,1607.0,1125.0,221.0
0.26,0.26,0.0,0.0,0.25,0.0,4,3192.0,1601.0,0.0,80.0,1609.0,833.0,187.0
0.26,0.26,0.0,0.0,0.25,0.0,5,4150.0,1613.0,0.0,68.0,1613.0,1158.0,216.0
0.26,0.26,0.0,0.0,0.25,0.0,6,6123.0,0.0,1600.0,81.0,1471.0,1616.0,183.0
0.26,0.26,0.0,0.0,0.25,0.0,7,5808.0,1605.0,0.0,76.0,1610.0,923.0,194.0
0.26,0.26,0.0,0.0,0.25,0.0,8,2639.0,0.0,1583.0,98.0,1075.0,1609.0,188.0
0.26,0.26,0.0,0.0,0.25,0.0,9,4323.0,0.0,1587.0,94.0,985.0,1606.0,213.0
0.26,0.26,0.0,0.0,0.25,0.25,0,2216.0,1554.0,0.0,127.0,1578.0,872.0,482.0
0.26,0.26,0.0,0.0,0.25,0.25,1,15000.0,616.0,952.0,113.0,1237.0,1425.0,455.0
0.26,0.26,0.0,0.0,0.25,0.25,2,11196.0,0.0,1558.0,123.0,1332.0,1579.0,491.0
0.26,0.26,0.0,0.0,0.25,0.25,3,3421.0,1571.0,0.0,110.0,1573.0,1002.0,493.0
0.26,0.26,0.0,0.0,0.25,0.25,4,5645.0,0.0,1547.0,134.0,1082.0,1574.0,471.0
0.26,0.26,0.0,0.0,0.25,0.25,5,6512.0,1549.0,0.0,132.0,1581.0,945.0,462.0
0.26,0.26,0.0,0.0,0.25,0.25,6,1961.0,0.0,1554.0,127.0,800.0,1567.0,490.0
0.26,0.26,0.0,0.0,0.25,0.25,7,2777.0,1577.0,0.0,104.0,1580.0,1017.0,469.0
0.26,0.26,0.0,0.0,0.25,0.25,8,1118.0,0.0,1546.0,135.0,898.0,1575.0,515.0
0.26,0.26,0.0,0.0,0.25,0.25,9,1224.0,0.0,1565.0,116.0,834.0,1572.0,511.0
0.26,0.26,0.0,0.0,0.25,0.5,0,5156.0,1492.0,0.0,189.0,1514.0,1332.0,635.0
0.26,0.26,0.0,0.0,0.25,0.5,1,2194.0,1475.0,0.0,206.0,1515.0,919.0,666.0
0.26,0.26,0.0,0.0,0.25,0.5,2,2408.0,0.0,1464.0,217.0,1037.0,1491.0,678.0
0.26,0.26,0.0,0.0,0.25,0.5,3,2834.0,0.0,1484.0,197.0,1012.0,1493.0,632.0
0.26,0.26,0.0,0.0,0.25,0.5,4,3877.0,1493.0,0.0,188.0,1499.0,841.0,629.0
0.26,0.26,0.0,0.0,0.25,0.5,5,1132.0,1490.0,0.0,191.0,1517.0,696.0,619.0
0.26,0.26,0.0,0.0,0.25,0.5,6,3217.0,1485.0,0.0,196.0,1502.0,1025.0,668.0
0.26,0.26,0.0,0.0,0.25,0.5,7,790.0,0.0,1498.0,183.0,741.0,1508.0,659.0
0.26,0.26,0.0,0.0,0.25,0.5,8,2111.0,1517.0,0.0,164.0,1517.0,1196.0,623.0
0.26,0.26,0.0,0.0,0.25,0.5,9,5374.0,1489.0,0.0,192.0,1520.0,1470.0,647.0
0.26,0.26,0.0,0.0,0.25,0.75,0,1608.0,0.0,1237.0,444.0,785.0,1293.0,800.0
0.26,0.26,0.0,0.0,0.25,0.75,1,4324.0,1279.0,0.0,402.0,1305.0,1159.0,818.0
0.26,0.26,0.0,0.0,0.25,0.75,2,1198.0,0.0,1193.0,488.0,683.0,1285.0,786.0
0.26,0.26,0.0,0.0,0.25,0.75,3,3786.0,0.0,1243.0,438.0,865.0,1284.0,761.0
0.26,0.26,0.0,0.0,0.25,0.75,4,3813.0,1225.0,0.0,456.0,1294.0,614.0,777.0
0.26,0.26,0.0,0.0,0.25,0.75,5,8596.0,1232.0,0.0,449.0,1286.0,1291.0,776.0
0.26,0.26,0.0,0.0,0.25,0.75,6,3554.0,1209.0,0.0,472.0,1315.0,751.0,789.0
0.26,0.26,0.0,0.0,0.25,0.75,7,2332.0,0.0,1236.0,445.0,798.0,1258.0,792.0
0.26,0.26,0.0,0.0,0.25,0.75,8,2751.0,0.0,1230.0,451.0,784.0,1269.0,735.0
0.26,0.26,0.0,0.0,0.25,0.75,9,4183.0,0.0,1286.0,395.0,714.0,1286.0,758.0
0.26,0.26,0.0,0.0,0.25,1.0,0,73.0,0.0,23.0,1658.0,420.0,432.0,1658.0
0.26,0.26,0.0,0.0,0.25,1.0,1,64.0,17.0,0.0,1664.0,397.0,380.0,1664.0
0.26,0.26,0.0,0.0,0.25,1.0,2,84.0,0.0,8.0,1673.0,431.0,416.0,1673.0
0.26,0.26,0.0,0.0,0.25,1.0,3,92.0,6.0,0.0,1675.0,412.0,439.0,1675.0
0.26,0.26,0.0,0.0,0.25,1.0,4,72.0,30.0,0.0,1651.0,430.0,392.0,1652.0
0.26,0.26,0.0,0.0,0.25,1.0,5,65.0,1.0,0.0,1680.0,406.0,399.0,1680.0
0.26,0.26,0.0,0.0,0.25,1.0,6,103.0,0.0,16.0,1665.0,401.0,470.0,1665.0
0.26,0.26,0.0,0.0,0.25,1.0,7,69.0,0.0,15.0,1666.0,418.0,457.0,1666.0
0.26,0.26,0.0,0.0,0.25,1.0,8,71.0,0.0,24.0,1657.0,437.0,409.0,1666.0
0.26,0.26,0.0,0.0,0.25,1.0,9,88.0,4.0,0.0,1677.0,383.0,405.0,1678.0
0.26,0.26,0.0,0.0,0.5,0.0,0,6898.0,0.0,1519.0,162.0,1104.0,1534.0,363.0
0.26,0.26,0.0,0.0,0.5,0.0,1,1579.0,1524.0,0.0,157.0,1528.0,1075.0,369.0
0.26,0.26,0.0,0.0,0.5,0.0,2,2001.0,1513.0,0.0,168.0,1537.0,962.0,316.0
0.26,0.26,0.0,0.0,0.5,0.0,3,1854.0,1520.0,0.0,161.0,1520.0,887.0,355.0
0.26,0.26,0.0,0.0,0.5,0.0,4,1538.0,1504.0,0.0,177.0,1520.0,910.0,383.0
0.26,0.26,0.0,0.0,0.5,0.0,5,1712.0,0.0,1501.0,180.0,1009.0,1531.0,331.0
0.26,0.26,0.0,0.0,0.5,0.0,6,3398.0,0.0,1499.0,182.0,906.0,1535.0,348.0
0.26,0.26,0.0,0.0,0.5,0.0,7,5179.0,1514.0,0.0,167.0,1526.0,1377.0,334.0
0.26,0.26,0.0,0.0,0.5,0.0,8,5399.0,1525.0,0.0,156.0,1525.0,1189.0,305.0
0.26,0.26,0.0,0.0,0.5,0.0,9,2266.0,0.0,1489.0,192.0,1119.0,1529.0,358.0
0.26,0.26,0.0,0.0,0.5,0.25,0,2856.0,1431.0,0.0,250.0,1458.0,1275.0,546.0
0.26,0.26,0.0,0.0,0.5,0.25,1,937.0,1426.0,0.0,255.0,1479.0,797.0,575.0
0.26,0.26,0.0,0.0,0.5,0.25,2,5534.0,1424.0,0.0,257.0,1470.0,1024.0,607.0
0.26,0.26,0.0,0.0,0.5,0.25,3,7038.0,0.0,1427.0,254.0,1298.0,1452.0,589.0
0.26,0.26,0.0,0.0,0.5,0.25,4,2796.0,0.0,1453.0,228.0,781.0,1475.0,565.0
0.26,0.26,0.0,0.0,0.5,0.25,5,2634.0,1432.0,0.0,249.0,1452.0,770.0,547.0
0.26,0.26,0.0,0.0,0.5,0.25,6,1409.0,0.0,1454.0,227.0,899.0,1457.0,580.0
0.26,0.26,0.0,0.0,0.5,0.25,7,10411.0,0.0,1435.0,246.0,1415.0,1465.0,586.0
0.26,0.26,0.0,0.0,0.5,0.25,8,1562.0,1405.0,0.0,276.0,1472.0,775.0,575.0
0.26,0.26,0.0,0.0,0.5,0.25,9,3277.0,0.0,1434.0,247.0,880.0,1463.0,564.0
0.26,0.26,0.0,0.0,0.5,0.5,0,2217.0,0.0,1313.0,368.0,694.0,1331.0,688.0
0.26,0.26,0.0,0.0,0.5,0.5,1,3469.0,0.0,1303.0,378.0,1180.0,1322.0,691.0
0.26,0.26,0.0,0.0,0.5,0.5,2,5967.0,1272.0,0.0,409.0,1301.0,1011.0,681.0
0.26,0.26,0.0,0.0,0.5,0.5,3,3014.0,1284.0,0.0,397.0,1325.0,788.0,727.0
